"","Estimate","z.statistics","pvalue","Bf_adj_p"
"(Intercept)",-4.01624971521159,-21.5437535924395,6.05924262100645e-103,7.87701540730838e-102
"CDSTRUE",4.24490216365516,23.4706981245334,8.12702459844712e-122,1.05651319779813e-120
"Pos_UTR3",-0.147872313622133,-0.399428140359738,0.689577762593159,1
"Pos_CDS",0.964295745100933,10.4826400855423,1.03804773446695e-25,1.34946205480703e-24
"Pos_exons",-0.380334547718903,-4.16411947890464,3.12556420121661e-05,0.000406323346158159
"length_CDS",0.475908583199451,11.2806355230503,1.63560079248269e-29,2.12628103022749e-28
"long_exonTRUE",-0.805217615726204,-13.3227679517195,1.70660885942779e-40,2.21859151725612e-39
"length_gene_full",-0.38695097435252,-11.5035395505324,1.26614454544918e-30,1.64598790908393e-29
"miR_targeted_genesTRUE",0.203192256080403,3.32555690775673,0.000882420845662018,0.0114714709936062
"Isoform_num",0.153793046789151,5.35671701772085,8.47476940326084e-08,1.10172002242391e-06
"HK_genesTRUE",1.05247236779306,14.2618549085449,3.78264812826916e-46,4.9174425667499e-45
"GC_cont_genes",-0.142729258971506,-3.48975482561223,0.000483463875852935,0.00628503038608815
"GC_cont_101bp",-0.300057256190094,-7.55443039736345,4.20696862799376e-14,5.46905921639189e-13
