"","Estimate","z.statistics","pvalue","Bf_adj_p"
"(Intercept)",-2.62107125654689,-7.69770873941716,1.38527680401469e-14,5.40257953565728e-13
"UTR5TRUE",-2.92401490817874,-5.40389072321235,6.52106813863183e-08,2.54321657406641e-06
"UTR3TRUE",1.51806307025885,6.44935491262575,1.12327234917044e-10,4.38076216176472e-09
"CDSTRUE",-0.70190790258675,-3.04412270211147,0.0023335994009034,0.0910103766352328
"Stop_codonsTRUE",-0.965303959810361,-9.39079672404595,5.95480928945766e-21,2.32237562288849e-19
"Start_codonsTRUE",-2.51956109553647,-20.4963253985967,2.32177705573478e-93,9.05493051736563e-92
"exonsTRUE",1.79357934665276,5.19676059107778,2.02791256172061e-07,7.90885899071037e-06
"Last_exons_50bpTRUE",-1.1127457424279,-6.52450663826535,6.8225728804627e-11,2.66080342338045e-09
"Pos_UTR5",3.0945260259487,4.21890970120021,2.45486559454603e-05,0.00095739758187295
"Pos_UTR3",-1.92369116665327,-5.88472841700564,3.98708147071972e-09,1.55496177358069e-07
"Pos_CDS",1.72894308909713,9.19643340894363,3.70027751459577e-20,1.44310823069235e-18
"Pos_exons",-2.19170159281081,-10.2786518165541,8.79492012794662e-25,3.43001884989918e-23
"length_UTR3",-0.420623154201259,-4.3568191407066,1.31966223276067e-05,0.000514668270776663
"length_CDS",-0.463741367633866,-4.67803185203795,2.8964156202655e-06,0.000112960209190355
"long_exonTRUE",3.33449801734496,31.799939808918,6.48545848047276e-222,2.52932880738438e-220
"length_gene_ex",0.188587766526842,2.4755161025247,0.0133043762085279,0.518870672132589
"length_gene_full",0.203532753623157,2.61731029002795,0.00886257371123891,0.345640374738318
"AAACATRUE",-0.504042125795732,-2.32453643631153,0.0200967610730975,0.783773681850803
"GAACATRUE",0.201170856358529,0.992506952017298,0.320950289866236,1
"AGACATRUE",0.323657243999124,1.67436212398966,0.0940594519221036,1
"GGACATRUE",1.21364457751178,6.83026378294525,8.47586358908551e-12,3.30558679974335e-10
"AAACTTRUE",0.580179413128239,2.82478572125238,0.00473122446299021,0.184517754056618
"GAACTTRUE",1.55751746061665,7.7652589134079,8.14786081582877e-15,3.17766571817322e-13
"AGACTTRUE",1.42561052783743,7.01938720044935,2.22843437452005e-12,8.69089406062819e-11
"GGACTTRUE",2.15104204585073,11.1518866479322,7.01039779588408e-29,2.73405514039479e-27
"AAACCTRUE",-0.219414846733068,-0.973549587197359,0.330280227727336,1
"GAACCTRUE",0.168412452903108,0.815472315338796,0.414802005204424,1
"GGACCTRUE",0.744504848682452,4.18891064068838,2.80296737185248e-05,0.00109315727502247
"PC_1ntTRUE",-0.407455421754899,-3.85262075672737,0.000116860312828608,0.00455755220031573
"FC_1ntTRUE",0.401440060549206,3.57292914422113,0.000353010303705048,0.0137674018444969
"FC_101ntTRUE",-0.221548699865739,-2.66883915149309,0.007611389112016,0.296844175368624
"struct_loopTRUE",0.310428679420068,2.34402397554988,0.0190769450418485,0.744000856632091
"YTHDC1_TREWTRUE",-1.64666773999659,-5.41332847592464,6.18638533261004e-08,2.41269027971792e-06
"YTHDF1_TREWTRUE",0.920087902533101,3.67627818998475,0.00023666144176162,0.0092297962287032
"YTHDF2_TREWTRUE",1.31467630084007,5.22546447976686,1.73718468544445e-07,6.77502027323336e-06
"sncRNATRUE",0.0934777043495809,0.0347410109176669,0.972286258668063,1
"Isoform_num",-0.183718647104692,-3.61559576100168,0.00029965767500705,0.011686649325275
"GC_cont_genes",-0.115161140458987,-1.90096157403205,0.0573070459270915,1
"GC_cont_101bp",-0.522244561759252,-7.8257246007587,5.04741187818666e-15,1.9684906324928e-13
